id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1459722391815397376	1459544133731815427	2021-11-14 11:18:33 CST	2021-11-14	11:18:33	+0800	1320927993632489473	allen14123493	Allen		@pdslxf @wenzhaocomment 你在中国吗？谁说哪里都不能去? 除了中国风险地区，你行动自由，该上班上班该出去逛出去逛。疫情导致一些行业受到影响，但有些行业反而生意更好，因为国外的很多订单都转移到了中国。银行的利润估计不止疫情影响，中国房地产政策也是影响因素。 疫情对中国经济有影响，对其它国家一样有影响，都不好。	zh	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Allen14123493/status/1459722391815397376	False		0								[{'screen_name': 'pdslxf', 'name': '空空如也', 'id': '1095295424817127424'}, {'screen_name': 'wenzhaocomment', 'name': '文昭談古論今', 'id': '827972416567652352'}]				
1459716349299552265	1459556065654153216	2021-11-14 10:54:32 CST	2021-11-14	10:54:32	+0800	919774474114818048	kungunir	画中闲		@Ventixxp 其实就是单方面对中国实行优惠，中国是受益的那方，原来还能哭哭穷装一下，但是现在中国经济太强装不下去了，问题不是很大。	zh	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Kungunir/status/1459716349299552265	False		0								[{'screen_name': 'Ventixxp', 'name': '风中的旅人', 'id': '883640510807552001'}]				
1459713217635270661	1459199911447117828	2021-11-14 10:42:05 CST	2021-11-14	10:42:05	+0800	315059817	liumingxisu	SKY		@ySoU7IqT9MckriB @CBao1993 朱总理怎么说也让中国经济软着陆，没有造成严重的通货膨胀，这点就值得中国人记住！！？	zh	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/liumingxisu/status/1459713217635270661	False		0								[{'screen_name': 'ySoU7IqT9MckriB', 'name': 'Tom Anderson', 'id': '1179102112464064512'}, {'screen_name': 'CBao1993', 'name': '楚宝儿', 'id': '992434487706308608'}]				
1459706723531632641	1459706723531632641	2021-11-14 10:16:17 CST	2021-11-14	10:16:17	+0800	1283707382183256064	69soxfera	超絶桃色NEWS新闻地震速報COVIT19情報SEXYPINK		糖尿病人饮用酸奶不再纠结三元益糖平助力糖尿病管理 - 中国经济网   https://t.co/a37bZ0L9if	zh	[]	['http://www.ce.cn/cysc/yy/hydt/202111/14/t20211114_37082960.shtml']	[]	0	0	0	[]	[]	https://twitter.com/69soxfera/status/1459706723531632641	False		0								[]				
1459703904195674114	1459703904195674114	2021-11-14 10:05:05 CST	2021-11-14	10:05:05	+0800	497483746	_475662878888	Sing		#加速主义  突然之间网上出现好多诋毁中国加速主义。加速主义指的是资本追求利润的手段打破了传统分配零界点，进而激发了大众情绪反弹，再加速秩序的崩溃。这明明说的是美国，经济萧条种族矛盾扩大冲突暴乱不断。而中国经济社会都稳定向上，连啥是加速主义都不知道，就攻击中国真是居心叵测可笑至极！	zh	[]	[]	[]	0	0	0	['加速主义']	[]	https://twitter.com/_475662878888/status/1459703904195674114	False		0								[]				
1459703345673736195	1459703345673736195	2021-11-14 10:02:52 CST	2021-11-14	10:02:52	+0800	549396826	shoaib83242	SHOAIB SHAIKH		#加速主义  突然之间网上出现好多诋毁中国加速主义。加速主义指的是资本追求利润的手段打破了传统分配零界点，进而激发了大众情绪反弹，再加速秩序的崩溃。这明明说的是美国，经济萧条种族矛盾扩大冲突暴乱不断。而中国经济社会都稳定向上，连啥是加速主义都不知道，就攻击中国真是居心叵测可笑至极！	zh	[]	[]	[]	0	0	0	['加速主义']	[]	https://twitter.com/shoaib83242/status/1459703345673736195	False		0								[]				
1459701113029111810	1459701113029111810	2021-11-14 09:53:59 CST	2021-11-14	09:53:59	+0800	2263751	ymc3ymty	Seashell on beach		有盆友说中国还是很不错的，我说只不过是因为你只熟悉自己的家乡，中国经济最发达的省份里经济最发达的地域而已	zh	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Ymc3Ymty/status/1459701113029111810	False	https://twitter.com/wangzhian8848/status/1459699739130220552	0								[]				
1459692450860130306	1459500460813926403	2021-11-14 09:19:34 CST	2021-11-14	09:19:34	+0800	1143401141121634304	felixfa58799548	Felix		@AndrewC86186 中国经济一半是房地产，有出处么？	zh	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/FelixFa58799548/status/1459692450860130306	False		0								[{'screen_name': 'AndrewC86186', 'name': 'David Ng', 'id': '3049985808'}]				
1459690849911062530	1459690849911062530	2021-11-14 09:13:13 CST	2021-11-14	09:13:13	+0800	1733199595	lunanweiyi	鲁  难		稳地价、稳房价、稳预期都对，但是“遏制”房地产金融化泡沫化应改为保证泡沫化。房地产一爆，建立在虚假数字上的经济会立刻土崩瓦解。整天论证中国经济基础如何雄厚、持续高速发展的鼓吹手，信誓旦旦地表示中国经济不会崩溃，并且嘲笑按照规律预言中国崩溃的经济学家。不过，当房地产爆掉，他们就安静了  https://t.co/1XLr3u4S0p	zh	[]	[]	['https://pbs.twimg.com/media/FEHdFzgWYAsyfqx.jpg', 'https://pbs.twimg.com/media/FEHdFzfXoAMUWnY.jpg', 'https://pbs.twimg.com/media/FEHdFz-XoAAfc2e.jpg', 'https://pbs.twimg.com/media/FEHdF0AXoAAc-UQ.jpg']	4	5	9	[]	[]	https://twitter.com/lunanweiyi/status/1459690849911062530	False		1	https://pbs.twimg.com/media/FEHdFzgWYAsyfqx.jpg							[]				
1459661520426737670	1459392763334742020	2021-11-14 07:16:40 CST	2021-11-14	07:16:40	+0800	884583600959537152	seanhuanwz	貓眼看世界		@Mrtingshuo @Jam79922967 这个没必要喷，字迹工整。那时瘦显高。不管怎么样，团派都是读了书的。那些大老粗就难搞哦。毛是读了点书，但没留过学，眼界有限，邓留过学，眼光深远，赵也是文化人，思想更先进，胡温也不温文尔雅。虽然没大的建树，但把中国经济拉到一定高度。江也是读过书的，外交也很OK。	zh	[]	[]	[]	1	1	18	[]	[]	https://twitter.com/seanhuanwz/status/1459661520426737670	False		0								[{'screen_name': 'Mrtingshuo', 'name': '天天', 'id': '1224242056219906048'}, {'screen_name': 'Jam79922967', 'name': 'Jam', 'id': '1194305042578362368'}]				
